product,Legal (gate),Legal strength,Operational (gate),Operational strength,Economic (gate),Economic strength,Disclosure,Headline (gate),Overall strength,Binding constraint,Coverage,Confidence
USDC,Non-Equivalent,3.3,Non-Equivalent,3.2,Non-Equivalent,2.0,Partial,Non-Equivalent,2.7,Economic / Settlement Finality FAIL,11/11,HIGH
USDT,Non-Equivalent,1.0,Non-Equivalent,2.5,Non-Equivalent,2.0,Partial,Non-Equivalent,2.1,Legal / Rights Parity FAIL,11/11,HIGH
USDG,Non-Equivalent,3.3,Non-Equivalent,3.2,Non-Equivalent,3.0,Partial,Non-Equivalent,3.0,Economic / Settlement Finality FAIL,11/11,HIGH
PYUSD,Non-Equivalent,2.7,Non-Equivalent,3.0,Non-Equivalent,3.0,Partial,Non-Equivalent,2.8,Legal / Rights Parity FAIL,11/11,HIGH
DAI,Non-Equivalent,1.0,Non-Equivalent,3.3,Non-Equivalent,2.7,Adequate,Non-Equivalent,2.9,Legal / Rights Parity FAIL,11/11,HIGH
BUIDL,Non-Equivalent,3.0,Non-Equivalent,3.7,Non-Equivalent,3.3,Partial,Non-Equivalent,3.2,Legal / Rights Parity FAIL,11/11,HIGH
OUSG,Non-Equivalent,2.3,Non-Equivalent,2.7,Non-Equivalent,2.7,Partial,Non-Equivalent,2.6,Legal / Rights Parity FAIL,11/11,HIGH
BENJI,Non-Equivalent,3.7,Non-Equivalent,3.2,Non-Equivalent,3.0,Adequate,Non-Equivalent,3.5,Economic / Collateral Operability FAIL,11/11,HIGH
JPMD,Indeterminate,3.7,Non-Equivalent,3.0,Indeterminate,3.7,None published,Non-Equivalent,3.3,Operational / Governance & Change Control FAIL,11/11,HIGH
USDY,Non-Equivalent,3.3,Non-Equivalent,3.5,Non-Equivalent,3.0,Partial,Non-Equivalent,3.2,Economic / Cash Settlement Asset FAIL,11/11,HIGH
USYC,Non-Equivalent,2.7,Non-Equivalent,2.3,Non-Equivalent,2.0,Partial,Non-Equivalent,2.5,Economic / Collateral Operability FAIL,11/11,HIGH
USD1,Non-Equivalent,2.3,Non-Equivalent,2.7,Non-Equivalent,1.7,Partial,Non-Equivalent,2.4,Economic / Settlement Finality FAIL,11/11,HIGH
SoFiUSD,Non-Equivalent,2.3,Non-Equivalent,2.3,Non-Equivalent,2.7,Partial,Non-Equivalent,2.5,Legal / Rights Parity FAIL,11/11,HIGH
RLUSD,Non-Equivalent,3.0,Non-Equivalent,3.5,Substantially Eq.,4.3,Partial,Non-Equivalent,3.5,Legal / Rights Parity FAIL,11/11,HIGH
