row,regime,dimension,verdict,inapplicability,cell_cite,evidence_basis
J1,US registered fund (1940 Act) [BENJI],D1,PASS,no,ICA 17(f); 12 CFR 9.13,"ICA s.17(f) statutorily mandates qualified custody of fund securities; fund assets are the property of the fund, a separate entity; bank custodians must keep fiduciary assets separate from bank assets (12 CFR 9.13(b)). Statutory, insolvency-effective without contract."
J1,US registered fund (1940 Act) [BENJI],D2,PASS,no,ICA 18(f)(1),"ICA s.18(f)(1) statutorily flattens the open-end capital structure (no senior securities; bank borrowings only at 300 percent asset coverage), making the holder's residual rank determinate by statute; holder status documented in the registration statement (485BPOS, Jan 2025). The statutorily flat capital structure satisfies D2 (rank determinate by statute)."
J1,US registered fund (1940 Act) [BENJI],D3,PASS,no,Ch.15; Morning Mist,"UNCITRAL Model Law adopted as Bankruptcy Code Chapter 15 (Pub. L. 109-8, 2005), in force, with fund-relevant practice: Morning Mist v Krys (In re Fairfield Sentry), 714 F.3d 127 (2d Cir. 2013), affirming recognition of an offshore fund liquidation."
J1,US registered fund (1940 Act) [BENJI],D4,PASS,no,1940 Act; 2a-7; 22e-3,"Product-class statutory layer: 1940 Act custody (17(f)), capital structure (18), redemption rights (22(e)); plus the money-market-fund regulatory layer (Rule 2a-7; Rule 22e-3 purpose-built orderly liquidation requiring irrevocable board approval and SEC notification)."
J1,US registered fund (1940 Act) [BENJI],D5,PASS,no,17(f)(3); 18(f)(1),"Statutory lattice: s.17(f) custody mandate with express rule authority over earmarking, segregation, and hypothecation (17(f)(3)); s.18(f)(1) 300 percent coverage cap on borrowings; custodian reuse barred by 12 CFR 9.13. Pass under the substance-based D5 ladder (a custody-mandate-plus-leverage-cap lattice yields pass)."
J1,US registered fund (1940 Act) [BENJI],D6,PASS,no,22(e); 88 FR 51404,"s.22(e) bars suspension beyond seven days except enumerated, disclosed circumstances or SEC order; the 2023 MMF reforms removed temporary gates from Rule 2a-7 (88 FR 51404); permanent suspension only via Rule 22e-3 liquidation; mandatory liquidity fees do not reach government funds. No officer power compels conversion into a different instrument."
J1,US registered fund (1940 Act) [BENJI],D7,PASS,no,Reserve Primary (2008-2010),"Reserve Primary Fund: broke the buck 2008-09-16; court-ordered pro rata distribution recovered more than 98 cents on the dollar by January 2010 (SEC PR 2010-16; final figure 99.1 cents secondary-sourced, primary wishlisted). In-class, completed, timely by insolvency standards; the Reserve Primary recovery satisfies D7 timeliness."
J2,US bank deposit (FDI Act) [JPMD],D1,FAIL,yes,12 USC 1813(l)(1),"Structurally inapplicable: a deposit is a bank liability (12 U.S.C. 1813(l)(1)); deposited funds are bank property; there is no customer asset to segregate. Claim-side substitutes (insurance, preference) are credited at product level per adopted ruling Q2(a)."
J2,US bank deposit (FDI Act) [JPMD],D2,PASS,no,12 USC 1821(d)(11),"National depositor preference fixes the rank by statute: deposit liabilities rank second, after receiver expenses and above all other general liabilities, subordinated debt, and shareholders. Statutory, uniform, contract-independent. Documentation prong assessed at product level per ruling Q4(a)."
J2,US bank deposit (FDI Act) [JPMD],D3,PARTIAL,no,109(b)/1501(c)(1),"Banks are excluded from the Bankruptcy Code (11 U.S.C. 109(b)(2)) and from Chapter 15 (1501(c)(1)); the FDI Act receivership regime has no statutory foreign-recognition framework. Demonstrated coordinated parallel action exists (2023: FDIC resolved SVB while the Bank of England separately resolved SVB UK), which is practice without statutory recognition."
J2,US bank deposit (FDI Act) [JPMD],D4,PASS,no,FDI Act,"The strongest product-specific statutory layer in the matrix: dedicated receivership regime (12 U.S.C. 191; FDI Act), deposit insurance, depositor preference, bridge-bank tools (1821(n)), least-cost framework with systemic risk override (1823(c)(4))."
J2,US bank deposit (FDI Act) [JPMD],D5,FAIL,yes,deposit-taking model,"Structurally inapplicable: deploying depositor funds is the deposit-taking business model, not a re-pledge of customer assets; protection is claim-side (prudential regulation, insurance, preference), not asset-side. Rendered fail-by-inapplicability per ruling Q2(a)."
J2,US bank deposit (FDI Act) [JPMD],D6,PASS,no,1821; 2023 practice,"Receiver powers statutorily enumerated and bounded: bridge transfer, purchase and assumption, insured payout 'as soon as possible'; uninsured balances convert to receivership claims by operation of pre-existing statute, not discretionary conversion. 2023 receiverships transferred all deposits whole."
J2,US bank deposit (FDI Act) [JPMD],D7,PASS,no,SVB/Signature/First Republic,"Three completed in-class receiverships (2023): SVB and Signature (systemic risk exception made all depositors whole with next-business-day access); First Republic (whole-deposit P&A to JPMorgan). Insured record: no losses since 1933. Caveat: uninsured whole-making was discretionary, precedent not entitlement."
J2S,"US insured national bank, non-deposit stablecoin (FDI Act receivership) [SoFiUSD]",D1,FAIL,no,"IL 1174; Terms II.A, XV.I","No statute or binding regulation segregates a non-deposit stablecoin reserve at an insured full-service national bank; OCC Interpretive Letters 1174 and 1183 authorize bank stablecoin issuance with no segregation or titling mandate; 12 CFR 9.13 reaches only fiduciary-capacity assets and the SOFID Terms disclaim the capacity (no agent, broker, trustee, fiduciary, custodian) and negate any trust, bailment, escrow, custodial relationship, or holder ownership or security interest in Reserve Assets. Two published Deloitte and Touche LLP attestations (Report Dates 2026-03-31 and 2026-04-30; AICPA standards) cut the other way at the operational layer, describing the reserve held 100 percent in cash at the Federal Reserve through a BitGo Trust Company, Inc. segregated fiduciary account for the benefit of holders, legally segregated from both SoFi's and BitGo's corporate assets, so the contractual disclaimers and the attested FBO segregation are two-sided and unreconciled (the J3F pattern); but the attested custody is contractual and operational rather than a statute or binding regulation, which is what this dimension scores. The J2xD1 Fail* inapplicability premise (a deposit has no customer asset to segregate) does not carry; a plain fail on the statutory leg, with the two-sided contractual cure credited at the product level (it resolves the product verdict to Ambiguous rather than Fail)."
J2S,"US insured national bank, non-deposit stablecoin (FDI Act receivership) [SoFiUSD]",D2,PARTIAL,no,12 USC 1821(d)(11)(A)(iii),"Unlike J3F's no-statute vacuum, 12 USC 1821(d)(11)(A) supplies a determinate, contract-independent receivership waterfall; on the issuer's own characterization that SOFID is not a deposit (12 USC 1813(l)), the holder occupies clause (iii), any other general or senior liability, structurally subordinated behind every insured and uninsured deposit liability, and the Terms document the rank adversely (claims may be treated as general unsecured obligations of the Issuer). Statute fixes the rank, but to the holder's disadvantage, and the depositor-preference leg that lifted J2xD2 to pass does not reach a non-deposit claim."
J2S,"US insured national bank, non-deposit stablecoin (FDI Act receivership) [SoFiUSD]",D3,PARTIAL,no,109(b)/1501(c); SVB 2023,"Carries J2xD3 substantially, entity-level and claim-class-independent: the issuer is excluded from the Bankruptcy Code (11 USC 109(b)(2)) and Chapter 15 (1501(c)(1)) and the FDI Act receivership regime has no statutory foreign-recognition framework, but demonstrated coordinated parallel action exists (2023: FDIC resolved SVB while the Bank of England separately resolved SVB UK), practice without statutory recognition. Materially stronger than J3FxD3 fail: a real, modern coordination record."
J2S,"US insured national bank, non-deposit stablecoin (FDI Act receivership) [SoFiUSD]",D4,PARTIAL,no,FDI Act; insurance disclaimed,"The FDI Act receivership machinery carries at entity level (dedicated regime, 12 USC 191; bridge-bank tools, 1821(n); least-cost framework with systemic-risk override, 1823(c)(4)), but the two legs that made J2xD4 the matrix's strongest product-specific statutory layer, deposit insurance and depositor preference, are expressly disclaimed for this product (SOFID is not a deposit and is not insured by the FDIC; holders have no pass-through insurance). Carries the entity-level leg, loses the deposit-specific legs."
